科目名,キャンパス,担当者名,授業実施形態,教室,曜日時限,開講場所
細胞レベルの生命科学による革新,湘南藤沢,黒田 裕樹,対面授業（主として対面授業）,Ω11,火4,SFC
ヘルスリサーチの基礎【学期前半】,湘南藤沢,"秋山 美紀, 牛山 潤一, 黒田 裕樹, 佐藤 豪竜, 島津 明人, 内藤 泰宏",対面授業（主として対面授業）,Ω22,"月4,5",SFC;その他
研究会Ａ,湘南藤沢,神保 謙,対面授業（主として対面授業）,ι12,"木4,5",SFC
物理・化学基礎,湘南藤沢,楠本 博之,対面授業（主として対面授業）,Ω21,火1,SFC
未来構想ワークショップ【学期前半】,湘南藤沢,矢作 尚久,対面授業（主として対面授業）,κ23,"月4,5",SFC
リーガルワークショップ【学期後半】(GIGA/GG/GI),湘南藤沢,マラケ， カタリナ,オンライン授業（主としてリアルタイム形式）,,"水4,5",その他
フランス語コンテンツ,湘南藤沢,ドマジ， サシャ,対面授業（主として対面授業）,ι17,木4,SFC
古典と現在,湘南藤沢,清水 唯一朗,対面授業（主として対面授業）,ι12,木2,SFC
研究会Ａ,湘南藤沢,中西 泰人,対面授業（主として対面授業）,"火5:λ24, 木5:κ21",火5/木5,SFC;その他
研究会Ａ,湘南藤沢,廣瀬 陽子,対面授業（主として対面授業）,ι15,"火4,5",SFC
ドイツ語コンテンツ,湘南藤沢,グラスミュック， マルクス,オンライン授業（主としてリアルタイム形式）,,月5,その他
中国語インテンシブ２CC,湘南藤沢,"新田 順一, 郭 夢ギョウ, 宮本 大輔, 楊 洲",対面授業（主として対面授業）,"月2:ε15, 火1:ε15, 水2:ο12, 金1:ε11",月2/火1/水2/金1,SFC
自然環境論,湘南藤沢,一ノ瀬 友博,対面授業（主として対面授業）,ο22,火3,SFC
視覚メディア表現,湘南藤沢,脇田 玲,対面授業（主として対面授業）,λ21,金4,SFC
ヒューマンコンピュータインタラクション,湘南藤沢,中西 泰人,対面授業（主として対面授業）,λ25,火2,SFC
中国語インテンシブ４CA,湘南藤沢,"鄭 浩瀾, 郭 夢ギョウ, 嚴 馥, 華 金玲",対面授業（主として対面授業）,"月1:ε15, 火2:ε15, 水2:ι17, 金2:ε18",月1/火2/水2/金2,SFC
アラビア語インテンシブ２,湘南藤沢,"山本 薫, アルマンスール， アフマド, 植村 さおり, ジャームース， ラーウィヤ",対面授業（主として対面授業）,"火1:λ24, 水2:ε11, 木2:κ13, 金2:λ18",火1/水2/木2/金2,SFC
運動の生理と心理【学期後半】,湘南藤沢,牛山 潤一,対面授業（主として対面授業）,Ω11,"月4,5",SFC
中国語コンテンツ,湘南藤沢,鄭 浩瀾,対面授業（主として対面授業）,λ23,金3,SFC
朝鮮語コンテンツ,湘南藤沢,徐 旻廷,対面授業（主として対面授業）,κ21,金2,SFC
政治哲学（現代）,湘南藤沢,宮代 康丈,対面授業（主として対面授業）,κ23,金2,SFC
研究会Ｂ(1),湘南藤沢,植原 啓介,対面授業（主として対面授業）,ι11,月6,SFC;その他
研究会Ａ,湘南藤沢,鳴川 肇,対面授業（主として対面授業）,βｽﾀｼﾞｵ,"木5,6",SFC
線形代数[DS1](GIGA/GG/GI),湘南藤沢,山口 健太朗,オンライン授業（主としてリアルタイム形式）,,月6,その他
研究会Ｂ(1),湘南藤沢,藤田 護,対面授業（主として対面授業）,λ407,金4,SFC
研究会Ｂ(2),湘南藤沢,藤田 護,対面授業（主として対面授業）,λ407,木5,SFC
研究会Ｂ(2),湘南藤沢,植原 啓介,対面授業（主として対面授業）,ο12,火5,SFC;TTCK
研究会Ｂ(1),湘南藤沢,和田 龍磨,対面授業（主として対面授業）,ε13,火2,SFC
医療・健康のデータサイエンス[DS2](GIGA/GG/GI),湘南藤沢,竹内 円雅,オンライン授業（主としてリアルタイム形式）,,水6,SFC
デザインとプログラミング,湘南藤沢,田所 淳,対面授業（主として対面授業）,Ω11,金5,SFC
情報基礎１(28)(GIGA/GG/GI),湘南藤沢,ルーク， コリー Ｔ．,対面授業（主として対面授業）,ο17,"月4,5",SFC
研究会Ｂ(2),湘南藤沢,和田 龍磨,対面授業（主として対面授業）,κ21,木2,SFC
研究会Ｂ(1),湘南藤沢,琴坂 将広,対面授業（主として対面授業）,κ11,月6,SFC
研究会Ｂ(2),湘南藤沢,琴坂 将広,対面授業（主として対面授業）,κ11,月5,SFC
スチューデントビルドキャンパス（ＳＢＣ）実践（建築Ａ）【学期前半】,湘南藤沢,"松川 昌平, 西願 公登",対面授業（主として対面授業）,βｽﾀｼﾞｵ,"金3,4",SFC
研究会Ｂ(1),湘南藤沢,野中 葉,対面授業（主として対面授業）,ι16,火5,SFC
微分・積分[DS1](GIGA/GG/GI),湘南藤沢,青山 敦,対面授業（主として対面授業）,ο12,火2,SFC
データ・ドリブン社会の創発と戦略(GIGA),湘南藤沢,安宅 和人,対面授業（主として対面授業）,ο21,木2,SFC
統計基礎[DS1](GIGA/GG/GI),湘南藤沢,竹内 円雅,オンライン授業（主としてリアルタイム形式）,,火6,SFC
研究会Ｂ(2),湘南藤沢,野中 葉,対面授業（主として対面授業）,ι16,金5,SFC
研究会Ａ,湘南藤沢,トレース， ジョナサン Ｗ．,対面授業（主として対面授業）,ο13,"木3,4",SFC
データ・ドリブン社会の創発と戦略（応用）,湘南藤沢,安宅 和人,対面授業（主として対面授業）,τ12,水2,SFC
トップスポーツ論【学期後半】,湘南藤沢,水鳥 寿思,オンライン授業（主としてリアルタイム形式）,,"火3,4",その他
多国籍経営論【学期前半】(GIGA/GG),湘南藤沢,琴坂 将広,対面授業（主として対面授業）,ο22,"水1,2",SFC;その他
データビジネス創造Ａ【学期前半】,湘南藤沢,"植原 啓介, 古谷 知之",対面授業（主として対面授業）,ε22,月2,SFC
マレー・インドネシア語スキル(読解),湘南藤沢,野中 葉,対面授業（主として対面授業）,ι16,金3,SFC
機械と材料工学(GIGA),湘南藤沢,アルマンスール， アフマド,対面授業（主として対面授業）,ε22,木2,SFC
デジタル信号処理の基礎,湘南藤沢,三次 仁,対面授業（主として対面授業）,ε23,月2,SFC
研究会Ｂ(1),湘南藤沢,西川 葉澄,対面授業（主として対面授業）,ε24,木4,SFC
研究会Ｂ(2),湘南藤沢,西川 葉澄,対面授業（主として対面授業）,ε13,金4,SFC
研究会Ｂ(1),湘南藤沢,荒川 和晴,対面授業（主として対面授業）,ε22,金5,SFC;TTCK;その他
情報基礎２,湘南藤沢,中村 太戯留,対面授業（主として対面授業）,κ18,"金4,5",SFC
研究会Ａ,湘南藤沢,仲谷 正史,対面授業（主として対面授業）,ι21,"木3,4",SFC
統計解析[DS2](GIGA/GG/GI),湘南藤沢,トレース， ジョナサン Ｗ．,対面授業（主として対面授業）,ο18,火4,SFC
プロジェクト英語Ｂ(Listening),湘南藤沢,ワイマン， ウォルター,対面授業（主として対面授業）,ι13,木1,SFC
セキュリティ総論Ｄ,湘南藤沢,"武田 圭史, 猪俣 敦夫, 衛藤 将史, 砂原 秀樹",オンライン授業（主としてリアルタイム形式）,,水5,その他
中国語インテンシブ３CA,湘南藤沢,"嚴 馥, 郭 嘉イ, 金牧 功大, 宮本 大輔",対面授業（主として対面授業）,"月1:ι13, 火2:ε16, 水1:ι17, 金2:ε11",月1/火2/水1/金2,SFC
研究会Ｂ(1),湘南藤沢,矢作 尚久,対面授業（主として対面授業）,κ16,月1,SFC
研究会Ｂ(2),湘南藤沢,鈴木 治夫,対面授業（主として対面授業）,ε22,火5,SFC;TTCK;その他
研究会Ａ,湘南藤沢,ショウ， ラジブ,対面授業（主として対面授業）,ε16,"月4,5",SFC
研究会Ｂ(1),湘南藤沢,鈴木 治夫,対面授業（主として対面授業）,ε22,金5,SFC;TTCK;その他
研究会Ａ,湘南藤沢,白井 裕子,対面授業（主として対面授業）,ι22,"月1,2",SFC;その他
研究会Ｂ(1),湘南藤沢,マイヤー， アンドレアス,対面授業（主として対面授業）,κ16,月4,SFC
研究会Ａ,湘南藤沢,田中 浩一郎,対面授業（主として対面授業）,ο21,"月3,4",SFC;その他
データビジネス創造Ｂ【学期後半】,湘南藤沢,"植原 啓介, 古谷 知之",対面授業（主として対面授業）,ε22,月2,SFC
研究会Ｂ(2),湘南藤沢,矢作 尚久,対面授業（主として対面授業）,κ16,月2,SFC
音楽と脳(GIGA/GI),湘南藤沢,藤井 進也,対面授業（主として対面授業）,θ,木3,SFC
労働法,湘南藤沢,海野 敦史,オンライン授業（主としてリアルタイム形式）,,火6,その他
研究会Ｂ(2),湘南藤沢,渡辺 靖,対面授業（主として対面授業）,λ25,火1,SFC;その他
研究会Ｂ(1),湘南藤沢,川島 英之,対面授業（主として対面授業）,κ23,火3,SFC
研究会Ｂ(2),湘南藤沢,川島 英之,対面授業（主として対面授業）,κ23,火4,SFC
研究会Ｂ(1),湘南藤沢,渡辺 靖,対面授業（主として対面授業）,λ25,月5,SFC;その他
情報基礎２,湘南藤沢,赤間 滉星,対面授業（主として対面授業）,ο12,"月4,5",SFC
スペイン語コンテンツ,湘南藤沢,藤田 護,対面授業（主として対面授業）,λ16,木3,SFC
第二言語習得と外国語教育入門(GIGA/GG),湘南藤沢,中浜 優子,対面授業（主として対面授業）,λ13,木4,SFC;その他
研究会Ａ,湘南藤沢,宮本 佳明,対面授業（主として対面授業）,ι12,"火4,5",SFC
地域と文化（スペイン語圏）,湘南藤沢,藤田 護,対面授業（主として対面授業）,λ16,木3,SFC
ソフトウェア技術を利用した創造的サービス構築論（応用）(寄附講座),湘南藤沢,"バンミーター， ロドニー Ｄ．, 岡田 和也, 関谷 勇司",対面授業（主として対面授業）,τ11,火5,SFC
大規模データシステム論(GIGA/GI),湘南藤沢,川島 英之,対面授業（主として対面授業）,ι11,木1,SFC
統計解析[DS2],湘南藤沢,"古谷 知之, 中島 有希大",対面授業（主として対面授業）,Ω12,火3,SFC
統計基礎[DS1],湘南藤沢,"古谷 知之, 中島 有希大",対面授業（主として対面授業）,Ω12,火2,SFC
研究会Ｂ(2),湘南藤沢,馬場 わかな,対面授業（主として対面授業）,κ21,金4,SFC
企業経営,湘南藤沢,上山 信一,対面授業（主として対面授業）,Ω12,月3,SFC
研究会Ｂ(1),湘南藤沢,馬場 わかな,対面授業（主として対面授業）,λ18,月4,SFC
研究会Ａ,湘南藤沢,安宅 和人,対面授業（主として対面授業）,ε11,"木3,4",SFC;その他
日本語インテンシブ初級１A,湘南藤沢,"伴野 崇生, 鈴木 理子",対面授業（主として対面授業）,"火1:λ14, 火2:λ14, 金1:ε24, 金2:ε24","火1,2/金1,2",SFC
研究会Ａ,湘南藤沢,加茂 具樹,対面授業（主として対面授業）,κ14,"火4,5",SFC
研究会Ｂ(1),湘南藤沢,古谷 知之,対面授業（主として対面授業）,ι21,月2,SFC
研究会Ｂ(2),湘南藤沢,古谷 知之,対面授業（主として対面授業）,ι21,月3,SFC
日本語インテンシブ初級２B,湘南藤沢,"白頭 宏美, 佐藤 貴仁",対面授業（主として対面授業）,"水1:κ11, 水2:κ11, 金1:ε12, 金2:ε12","水1,2/金1,2",SFC
オブジェクト指向プログラミング基礎,湘南藤沢,箕原 辰夫,対面授業（主として対面授業）,τ11,木4,SFC;その他
研究会Ｂ(1),湘南藤沢,高木 丈也,対面授業（主として対面授業）,κ13,木4,SFC
研究会Ｂ(2),湘南藤沢,高木 丈也,対面授業（主として対面授業）,ι12,火3,SFC
研究会Ｂ(1),湘南藤沢,藤井 進也,対面授業（主として対面授業）,ι11,火3,SFC
アルゴリズムサイエンス[DS2](GIGA/GG/GI),湘南藤沢,川島 英之,対面授業（主として対面授業）,ι11,金1,SFC
研究会Ｂ(1),湘南藤沢,山本 薫,対面授業（主として対面授業）,κ14,木4,SFC
研究会Ｂ(2),湘南藤沢,山本 薫,対面授業（主として対面授業）,ι15,金4,SFC
政策過程論(GIGA/GG),湘南藤沢,川口 航史,対面授業（主として対面授業）,ε23,火4,SFC
研究会Ｂ(2),湘南藤沢,藤井 進也,対面授業（主として対面授業）,λ21,金5,SFC
エビデンスに基づく健康政策とコミュニケーション(GIGA/GG),湘南藤沢,佐藤 豪竜,オンライン授業（主としてリアルタイム形式）,,火1,SFC;その他
改革とイノベーション,湘南藤沢,上山 信一,対面授業（主として対面授業）,ο22,月2,SFC
プロジェクト英語Ａ(Writing),湘南藤沢,ホン， トゥアン,対面授業（主として対面授業）,ο15,水3,SFC
バイオインフォマティクスのデータサイエンス[DS2],湘南藤沢,鈴木 治夫,対面授業（主として対面授業）,ο17,火3,SFC;その他
日常生活に活かすストレスマネジメント(GIGA),湘南藤沢,島津 明人,対面授業（主として対面授業）,τ31,火2,SFC
産業保健心理学【学期後半】,湘南藤沢,島津 明人,対面授業（主として対面授業）,ε17,"火4,5",SFC
ＳＤＧｓと金融(寄附講座),湘南藤沢,"蟹江 憲史, 井上 雄介",対面授業（主として対面授業）,ι23,水2,SFC
研究会Ａ,湘南藤沢,三次 仁,対面授業（主として対面授業）,ι14,"木4,5",SFC
プロジェクト英語Ｃ(Speaking)(GIGA/GG/GI),湘南藤沢,ハイ， キャメロン Ｉ．,対面授業（主として対面授業）,λ23,木1,SFC;その他
フランス語ベーシック１FB,湘南藤沢,"余語 毅憲, シルヴァ， ソニア Ｓ．",対面授業（主として対面授業）,"水3:ι21, 金3:κ13",水3/金3,SFC
研究会Ｂ(1),湘南藤沢,新谷 ロクサナ,対面授業（主として対面授業）,λ17,水4,SFC
政策形成とメディア,湘南藤沢,"藤井 彰夫, 西條 都夫, 斉藤 徹弥, 坂井 光, 菅野 幹雄, 高橋 徹, 田中 暁人, 中澤 克二, 松尾 博文, 峯岸 博, 柳瀬 和央",対面授業（主として対面授業）,Ω12,金5,SFC
データセキュリティ,湘南藤沢,甲斐 賢,対面授業（主として対面授業）,ε12,火5,SFC
研究会Ｂ(1),湘南藤沢,アルマンスール， アフマド,対面授業（主として対面授業）,ε22,木3,SFC
データ×ＡＩ・アート・デザイン時代のテキスト処理,湘南藤沢,東中 竜一郎,オンライン授業（主としてリアルタイム形式）,,水2,その他
情報通信技術展開政策,湘南藤沢,海野 敦史,対面授業（主として対面授業）,κ21,火3,SFC
朝鮮語スキル(読解),湘南藤沢,柳町 功,対面授業（主として対面授業）,ε13,火3,SFC
プロジェクト英語Ｃ(Oral Listening)(GIGA/GG/GI),湘南藤沢,グレイ， ジョージ,対面授業（主として対面授業）,ο11,水2,SFC
スポーツマネジメント,湘南藤沢,松橋 崇史,対面授業（主として対面授業）,κ23,木2,SFC
地方自治論(GIGA/GG),湘南藤沢,篠原 舟吾,対面授業（主として対面授業）,ε23,金3,SFC
日本語インテンシブ２B,湘南藤沢,"富岡 花, 甲斐 晶子",対面授業（主として対面授業）,"水1:ο21, 水2:ο21, 金1:λ24, 金2:λ24","水1,2/金1,2",SFC
プロジェクト英語Ｃ(Project)(GIGA/GG/GI),湘南藤沢,トレース， ジョナサン Ｗ．,対面授業（主として対面授業）,ο13,火3,SFC
感情と行動のコンピューティング,湘南藤沢,大越 匡,対面授業（主として対面授業）,κ12,金2,SFC
研究会Ｂ(1),湘南藤沢,篠原 舟吾,対面授業（主として対面授業）,λ16,木4,SFC
研究会Ｂ(2),湘南藤沢,篠原 舟吾,対面授業（主として対面授業）,λ16,木5,SFC;その他
方法論探究,湘南藤沢,篠原 舟吾,対面授業（主として対面授業）,ι23,火4,SFC
研究会Ｂ(1),湘南藤沢,大越 匡,対面授業（主として対面授業）,ο22,木4,SFC
研究会Ｂ(2),湘南藤沢,大越 匡,対面授業（主として対面授業）,ο22,木5,SFC
研究会Ａ,湘南藤沢,長谷川 福造,対面授業（主として対面授業）,λ13,"火4,5",SFC
基礎分子生物学３【学期前半】(GIGA/GG/GI),湘南藤沢,内藤 泰宏,オンライン授業（主としてオンデマンド形式）,,土他,その他
基礎分子生物学４【学期後半】(GIGA/GG/GI),湘南藤沢,内藤 泰宏,オンライン授業（主としてオンデマンド形式）,,土他,その他
アラビア語スキル,湘南藤沢,ハディ， ハーニ,対面授業（主として対面授業）,ε18,木2,SFC
外交と戦略,湘南藤沢,北川 敬三,対面授業（主として対面授業）,κ11,月2,SFC
研究会Ａ,湘南藤沢,森 さち子,対面授業（主として対面授業）,ο11,"火2,3",SFC
公共哲学実践,湘南藤沢,金杉 朋子,対面授業（主として対面授業）,ι11,木2,SFC
槇文彦建築とアーバニズム思想(寄附講座),湘南藤沢,"小林 博人, 池田 靖史, 大沼 徹, 渡部 葉子",対面授業（主として対面授業）,槇文彦ﾙｰﾑ,火1,SFC
スクリプト言語プログラミング基礎,湘南藤沢,箕原 辰夫,対面授業（主として対面授業）,τ11,木5,SFC;その他
知識編纂の技法－２【学期後半】,湘南藤沢,広野 彩子,対面授業（主として対面授業）,ο22,"水4,5",SFC
研究会Ｂ(1),湘南藤沢,華 金玲,対面授業（主として対面授業）,ι18,火4,SFC
研究会Ｂ(1),湘南藤沢,東海林 祐子,対面授業（主として対面授業）,ε21,木3,SFC
研究会Ｂ(2),湘南藤沢,東海林 祐子,対面授業（主として対面授業）,ε21,木4,SFC;その他
研究会Ｂ(1),湘南藤沢,平山 明由,対面授業（主として対面授業）,ε22,金5,SFC;TTCK;その他
研究会Ｂ(1),湘南藤沢,鶴岡 路人,対面授業（主として対面授業）,ο21,木5,SFC;その他
研究会Ｂ(2),湘南藤沢,鶴岡 路人,対面授業（主として対面授業）,ο21,木4,SFC;その他
選択と自由(GIGA/GG/GI),湘南藤沢,ヴ， レ　タオ　チ,対面授業（主として対面授業）,ο11,金2,SFC
不動産デザイン２(寄附講座),湘南藤沢,"小林 博人, 上田 真路",対面授業（主として対面授業）,ο22,月4,SFC;その他
ロシア語ベーシック２,湘南藤沢,"田中 孝史, 後藤 クセーニヤ",対面授業（主として対面授業）,"月4:κ21, 水2:ο13",月4/水2,SFC
研究会Ａ,湘南藤沢,水鳥 寿思,対面授業（主として対面授業）,λ13,"月1,2",SFC
トラステッド・インターネット概論(寄附講座),湘南藤沢,"鈴木 茂哉, 阿部 涼介, 植原 啓介, 黒坂 達也",対面授業（主として対面授業）,ο11,木3,SFC
研究会Ｂ(1),湘南藤沢,杉本 昌弘,対面授業（主として対面授業）,,火6,SFC;TTCK;その他
研究会Ｂ(1),湘南藤沢,河野 暢明,対面授業（主として対面授業）,,金5,SFC;TTCK;その他
ロシア語インテンシブ２,湘南藤沢,"田中 孝史, 後藤 クセーニヤ, シラヴァ， スヴィトラーナ",対面授業（主として対面授業）,"水3:ο13, 木2:κ17, 木3:κ17, 金3:ι13","水3/木2,3/金3",SFC
量子インターネット(GIGA/GI),湘南藤沢,バンミーター， ロドニー Ｄ．,対面授業（主として対面授業）,ι11,月1,SFC;その他
情報理論[DS2],湘南藤沢,金沢 篤,オンライン授業（主としてリアルタイム形式）,,金1,SFC;その他
スポーツによる地域振興(寄附講座),湘南藤沢,"神成 淳司, 信朝 裕行",対面授業（主として対面授業）,κ12,水2,SFC
顧客基点のデジタルトランスフォーメーション実践(寄附講座),湘南藤沢,"中村 慎之祐, 琴坂 将広",対面授業（主として対面授業）,Ω22,木4,SFC
海洋安全保障と海上法執行(GIGA),湘南藤沢,古谷 健太郎,対面授業（主として対面授業）,κ11,月3,SFC
実践演習：マーケティング技法(寄附講座),湘南藤沢,千葉 尚志,対面授業（主として対面授業）,ε22,月4,SFC;その他
研究会Ｂ(1),湘南藤沢,宮本 大輔,対面授業（主として対面授業）,ο16,火3,SFC
研究会Ｂ(2),湘南藤沢,宮本 大輔,対面授業（主として対面授業）,ο16,火4,SFC
英語インテンシブ１EA,湘南藤沢,ハイ， キャメロン Ｉ．,対面授業（主として対面授業）,λ23,"水1,2/金1,2",SFC;その他
研究会Ｂ(1),湘南藤沢,シェッダーディ， アキル,対面授業（主として対面授業）,λ24,水4,SFC
英語インテンシブ１EB,湘南藤沢,ヘニグマン， デイビッド,対面授業（主として対面授業）,ι14,"月1,2/水1,2",SFC;その他
英語インテンシブ１EC,湘南藤沢,オルファーズ， キース,対面授業（主として対面授業）,"水1:ε23, 水2:ε23, 金1:ι21, 金2:ι21","水1,2/金1,2",SFC
英語インテンシブ１ED,湘南藤沢,ヤナギ， ルスワティ,対面授業（主として対面授業）,"水1:κ13, 水2:κ13, 金1:κ17, 金2:κ17","水1,2/金1,2",SFC
研究会Ａ,湘南藤沢,中川 エリカ,対面授業（主として対面授業）,ﾃﾞｻﾞｲﾝｽﾀｼﾞｵ(森ｱﾄﾘｴ),"木3,4",SFC
働くこととジェンダー(GIGA),湘南藤沢,高橋 裕子,対面授業（主として対面授業）,ε23,木2,SFC
ジェンダーと社会経済,湘南藤沢,小泉 美果,対面授業（主として対面授業）,ι23,水5,SFC
エコクリティシズムと大衆文化(GIGA),湘南藤沢,マンロー・ホーテス， キャサリン,対面授業（主として対面授業）,τ11,月2,SFC
研究会Ａ,湘南藤沢,吉井 弘和,対面授業（主として対面授業）,κ11,"火4,5",SFC
ＥＳＧ投資とサステナブル経営(寄附講座),湘南藤沢,"保田 隆明, 福田 智美, 湯山 智教",対面授業（主として対面授業）,Ω22,月2,SFC
研究会Ａ,湘南藤沢,渡辺 将人,対面授業（主として対面授業）,κ21,"火4,5",SFC
フランス語スキル(フランス語を読む),湘南藤沢,宮代 康丈,対面授業（主として対面授業）,ο15,火3,SFC
研究会Ａ,湘南藤沢,細谷 浩美,対面授業（主として対面授業）,λ22,"月4,5",SFC
研究会Ｂ(1),湘南藤沢,内山 映子,対面授業（主として対面授業）,κ12,金4,SFC
研究会Ｂ(1),湘南藤沢,ヘニグマン， デイビッド,対面授業（主として対面授業）,ι14,月4,SFC
アカデミックライティング実践(GIGA/GG/GI),湘南藤沢,ボンジー， アラーナ Ｒ．,対面授業（主として対面授業）,ι16,火3,SFC
コラボレーション技法ワークショップ,湘南藤沢,玉村 雅敏,対面授業（主として対面授業）,ε11,"月1,2",SFC;その他
ネットワークコミュニケーション実践,湘南藤沢,田中 美乃里,対面授業（主として対面授業）,ε21,木2,SFC
研究会Ｂ(1),湘南藤沢,一ノ瀬 友博,対面授業（主として対面授業）,ο21,火4,SFC
研究会Ｂ(2),湘南藤沢,一ノ瀬 友博,対面授業（主として対面授業）,ο21,火5,SFC
ライティング技法ワークショップ,湘南藤沢,山田 ズーニー,対面授業（主として対面授業）,θ,火5,SFC
研究会Ｂ(1),湘南藤沢,黒田 裕樹,対面授業（主として対面授業）,τ11,金5,SFC
研究会Ｂ(2),湘南藤沢,黒田 裕樹,対面授業（主として対面授業）,ε22,火5,SFC;TTCK
地理学基礎,湘南藤沢,渡邊 圭一,対面授業（主として対面授業）,Ω12,月1,SFC
研究会Ｂ(2),湘南藤沢,清水 唯一朗,対面授業（主として対面授業）,κ22,木4,SFC
研究会Ｂ(1),湘南藤沢,清水 唯一朗,対面授業（主として対面授業）,κ14,火3,SFC
研究会Ｂ(1),湘南藤沢,渡辺 光博,対面授業（主として対面授業）,κ11,金5,SFC;その他
研究会Ｂ(2),湘南藤沢,渡辺 光博,対面授業（主として対面授業）,κ11,金6,SFC;その他
研究会Ｂ(1),湘南藤沢,國枝 孝弘,対面授業（主として対面授業）,λ24,木4,SFC
研究会Ｂ(1),湘南藤沢,金井 昭夫,対面授業（主として対面授業）,,金5,SFC;TTCK;その他
システムプログラミング基礎,湘南藤沢,楠本 博之,対面授業（主として対面授業）,ε11,木1,SFC
プロジェクト英語Ｃ(Writing)(GIGA/GG/GI),湘南藤沢,クベロ， ブライアン,対面授業（主として対面授業）,ο18,木2,SFC
研究会Ａ,湘南藤沢,千田 健太,対面授業（主として対面授業）,λ14,"月1,2",SFC
研究会Ａ,湘南藤沢,石川 光泰,対面授業（主として対面授業）,κ11,"木2,3",SFC
研究会Ａ,湘南藤沢,石渕 理恵子,対面授業（主として対面授業）,κ17,"火3,4",SFC
プロジェクト英語ＡEA02(Reading/Discussion),湘南藤沢,ホン， トゥアン,対面授業（主として対面授業）,ι17,金2,SFC
研究会Ａ,湘南藤沢,田島 英一,対面授業（主として対面授業）,ε12,"火3,4",SFC
プロジェクト英語Ａ(Presentation),湘南藤沢,ワイマン， ウォルター,対面授業（主として対面授業）,ε12,水2,SFC
フランス語インテンシブ１FB,湘南藤沢,"西川 葉澄, コルベイユ， スティーブ, シェッダーディ， アキル, マレシャル， ベアトリス",対面授業（主として対面授業）,"火2:ο21, 水2:κ14, 木2:λ24, 金1:λ16",火2/水2/木2/金1,SFC
プロジェクト英語Ａ(Oral Listening),湘南藤沢,クベロ， ブライアン,対面授業（主として対面授業）,ε24,水2,SFC
研究会Ａ,湘南藤沢,藁谷 郁美,対面授業（主として対面授業）,κ22,"月4,5",SFC;その他
プロジェクト英語Ａ(Speaking A),湘南藤沢,ホン， トゥアン,対面授業（主として対面授業）,ο18,火3,SFC
研究会Ｂ(1),湘南藤沢,秋山 美紀,対面授業（主として対面授業）,ε11,火4,SFC
研究会Ｂ(2),湘南藤沢,秋山 美紀,対面授業（主として対面授業）,ε11,火5,SFC
研究会Ｂ(2),湘南藤沢,柳町 功,対面授業（主として対面授業）,κ12,木4,SFC
研究会Ｂ(2),湘南藤沢,國枝 孝弘,対面授業（主として対面授業）,"ε21, ε23, ε24",金4,SFC
研究会Ａ,湘南藤沢,新保 史生,対面授業（主として対面授業）,ε24,"火4,5",SFC;その他
衣食住を取り巻く社会課題とイノベーション,湘南藤沢,内山 映子,対面授業（主として対面授業）,κ12,金3,SFC
研究会Ａ,湘南藤沢,中浜 優子,対面授業（主として対面授業）,λ24,"火3,4",SFC
研究会Ａ,湘南藤沢,諏訪 正樹,対面授業（主として対面授業）,ι308,"火4,5",SFC
